subject,startDate,startTime,endDate,endTime,allDayEvent,description,location,private
vs. 柏レイソル 第1節 明治安田生命J1リーグ,2023/2/18,15:00,,17:00,,,＠三協Ｆ柏,
vs. サガン鳥栖 第2節 明治安田生命J1リーグ,2023/2/25,15:00,,17:00,,,＠パナスタ,
vs. ヴィッセル神戸 第3節 明治安田生命J1リーグ,2023/3/4,14:00,,16:00,,,＠ノエスタ,
vs. 京都サンガF.C. グループステージ第1節 ＪリーグYBCルヴァンカップ,2023/3/8,19:00,,21:00,,,＠サンガＳ,
vs. サンフレッチェ広島 第4節 明治安田生命J1リーグ,2023/3/12,16:00,,18:00,,,＠パナスタ,
vs. 北海道コンサドーレ札幌 第5節 明治安田生命J1リーグ,2023/3/18,15:00,,17:00,,,＠パナスタ,
vs. セレッソ大阪 グループステージ第2節 ＪリーグYBCルヴァンカップ,2023/3/26,15:00,,17:00,,,＠パナスタ,
vs. 湘南ベルマーレ 第6節 明治安田生命J1リーグ,2023/4/1,15:00,,17:00,,,＠レモンＳ,
vs. ＦＣ東京 グループステージ第3節 ＪリーグYBCルヴァンカップ,2023/4/5,19:00,,21:00,,,＠パナスタ,
vs. 川崎フロンターレ 第7節 明治安田生命J1リーグ,2023/4/9,15:00,,17:00,,,＠パナスタ,
vs. 京都サンガF.C. 第8節 明治安田生命J1リーグ,2023/4/15,16:00,,18:00,,,＠サンガＳ,
vs. ＦＣ東京 グループステージ第4節 ＪリーグYBCルヴァンカップ,2023/4/19,19:00,,21:00,,,＠味スタ,
vs. 横浜ＦＣ 第9節 明治安田生命J1リーグ,2023/4/23,16:00,,18:00,,,＠パナスタ,
vs. 鹿島アントラーズ 第10節 明治安田生命J1リーグ,2023/4/29,19:00,,21:00,,,＠カシマ,
vs. セレッソ大阪 第11節 明治安田生命J1リーグ,2023/5/3,14:00,,16:00,,,＠パナスタ,
vs. 名古屋グランパス 第12節 明治安田生命J1リーグ,2023/5/6,19:00,,21:00,,,＠豊田ス,
vs. 浦和レッズ 第13節 明治安田生命J1リーグ,2023/5/14,16:00,,18:00,,,＠埼玉,
vs. 横浜Ｆ・マリノス 第14節 明治安田生命J1リーグ,2023/5/20,19:00,,21:00,,,＠パナスタ,
vs. 京都サンガF.C. グループステージ第5節 ＪリーグYBCルヴァンカップ,2023/5/24,19:00,,21:00,,,＠パナスタ,
vs. アルビレックス新潟 第15節 明治安田生命J1リーグ,2023/5/28,14:00,,16:00,,,＠デンカＳ,
vs. アビスパ福岡 第16節 明治安田生命J1リーグ,2023/6/3,18:00,,20:00,,,＠ベススタ,
vs. ＦＣ東京 第17節 明治安田生命J1リーグ,2023/6/11,18:00,,20:00,,,＠パナスタ,
vs. セレッソ大阪 グループステージ第6節 ＪリーグYBCルヴァンカップ,2023/6/18,18:00,,20:00,,,＠ヨドコウ,
vs. 鹿島アントラーズ 第18節 明治安田生命J1リーグ,2023/6/24,19:00,,21:00,,,＠パナスタ,
vs. 横浜ＦＣ 第19節 明治安田生命J1リーグ,2023/7/1,18:30,,20:30,,,＠ニッパツ,
vs. 京都サンガF.C. 第20節 明治安田生命J1リーグ,2023/7/8,19:00,,21:00,,,＠パナスタ,
vs. 柏レイソル 第21節 明治安田生命J1リーグ,2023/7/16,19:00,,21:00,,,＠パナスタ,
vs. 川崎フロンターレ 第22節 明治安田生命J1リーグ,2023/8/6,19:00,,21:00,,,＠等々力,
vs. 横浜Ｆ・マリノス 第23節 明治安田生命J1リーグ,2023/8/12,19:30,,21:30,,,＠日産ス,
vs. 湘南ベルマーレ 第24節 明治安田生命J1リーグ,2023/8/19,19:00,,21:00,,,＠パナスタ,
vs. サガン鳥栖 第25節 明治安田生命J1リーグ,2023/8/26,19:00,,21:00,,,＠駅スタ,
vs. 北海道コンサドーレ札幌 第26節 明治安田生命J1リーグ,2023/9/2,,,,1,日程未確定,＠札幌ド,
vs. アルビレックス新潟 第27節 明治安田生命J1リーグ,2023/9/16,,,,1,日程未確定,＠パナスタ,
vs. 浦和レッズ 第28節 明治安田生命J1リーグ,2023/9/23,,,,1,日程未確定,＠パナスタ,
vs. ＦＣ東京 第29節 明治安田生命J1リーグ,2023/9/30,,,,1,日程未確定,＠味スタ,
vs. 名古屋グランパス 第30節 明治安田生命J1リーグ,2023/10/21,,,,1,日程未確定,＠パナスタ,
vs. セレッソ大阪 第31節 明治安田生命J1リーグ,2023/10/28,,,,1,日程未確定,＠ヨドコウ,
vs. アビスパ福岡 第32節 明治安田生命J1リーグ,2023/11/11,,,,1,,＠パナスタ,
vs. サンフレッチェ広島 第33節 明治安田生命J1リーグ,2023/11/25,,,,1,,＠Ｅスタ,
vs. ヴィッセル神戸 第34節 明治安田生命J1リーグ,2023/12/3,,,,1,,＠パナスタ,
